model,display_model,base_run,cot_run,fully_paired,interpretation,metric,n,base_mean,cot_mean,delta_mean,delta_ci_low,delta_ci_high,wins,ties,losses,win_rate,tie_rate,loss_rate,mcnemar_exact_p
gpt-4o-mini,GPT-4o-mini,4o-mini-base,4o-mini-CoT,True,primary paired inference,exact_match,400,0.14,0.1375,-0.0025,-0.015,0.01,3,393,4,0.0075,0.9825,0.01,1.0
gpt-4o-mini,GPT-4o-mini,4o-mini-base,4o-mini-CoT,True,primary paired inference,token_f1,400,0.24724275828682063,0.23150224854264753,-0.01574050974417313,-0.02241472967879113,-0.009236190133735871,79,164,157,0.1975,0.41,0.3925,
gpt-4o-mini,GPT-4o-mini,4o-mini-base,4o-mini-CoT,True,primary paired inference,rouge_l,400,0.2160422955253607,0.1989918880576857,-0.01705040746767496,-0.02336071372685277,-0.010997506194498874,80,163,157,0.2,0.4075,0.3925,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,deepseekv3.1-thinking-base,deepseekv3.1-thinking-CoT,False,descriptive only,exact_match,393,0.22137404580152673,0.22391857506361323,0.002544529262086514,-0.017811704834605598,0.022900763358778626,9,376,8,0.022900763358778626,0.9567430025445293,0.020356234096692113,1.0
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,deepseekv3.1-thinking-base,deepseekv3.1-thinking-CoT,False,descriptive only,token_f1,393,0.17848930542192373,0.16496340192658726,-0.013525903495336486,-0.019842324867074525,-0.007540782377586828,120,46,227,0.3053435114503817,0.11704834605597965,0.5776081424936387,
deepseek-v3.1-thinking,DeepSeek-V3.1-Thinking,deepseekv3.1-thinking-base,deepseekv3.1-thinking-CoT,False,descriptive only,rouge_l,393,0.1532161111724738,0.1414769088038723,-0.01173920236860149,-0.017793832417879477,-0.006110104203003644,117,45,231,0.29770992366412213,0.11450381679389313,0.5877862595419847,
glm-5,GLM-5,glm5-base,glm5-CoT,True,descriptive only,exact_match,400,0.2525,0.25,-0.0025,-0.015,0.01,3,393,4,0.0075,0.9825,0.01,1.0
glm-5,GLM-5,glm5-base,glm5-CoT,True,descriptive only,token_f1,400,0.1691063641064569,0.16234737948948233,-0.006758984616974593,-0.012286798420016102,-0.001111405045598869,136,57,207,0.34,0.1425,0.5175,
glm-5,GLM-5,glm5-base,glm5-CoT,True,descriptive only,rouge_l,400,0.14903167361005795,0.14272936070094663,-0.006302312909111331,-0.011309659262679949,-0.001135021140091771,140,57,203,0.35,0.1425,0.5075,
qwen3-8b,Qwen3-8B,qwen3-8b-base,qwen-8b-CoT,True,descriptive only,exact_match,400,0.1925,0.1725,-0.02,-0.0375,-0.005,2,388,10,0.005,0.97,0.025,0.03857421875
qwen3-8b,Qwen3-8B,qwen3-8b-base,qwen-8b-CoT,True,descriptive only,token_f1,400,0.21977433826676154,0.20054142101557773,-0.01923291725118379,-0.027703219415983332,-0.01151691781949468,94,100,206,0.235,0.25,0.515,
qwen3-8b,Qwen3-8B,qwen3-8b-base,qwen-8b-CoT,True,descriptive only,rouge_l,400,0.18916911874243417,0.17168988311612057,-0.017479235626313597,-0.025717889272240703,-0.009939192855823996,93,99,208,0.2325,0.2475,0.52,
